longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,31.6,6.4522114,81.96027,42.051136,1642.5168,79.048706,104.780334,151.70287,1268.1176,2019-09-25 15:00:00
74.4,31.6,17.518597,77.35032,31.077257,1891.7576,83.48072,119.94818,173.62228,1269.6364,2019-09-25 18:00:00
74.4,31.6,0.64549965,7.3912034,179.20538,518.8555,14.728255,79.26165,116.835205,1254.4469,2019-09-26 09:00:00
74.4,31.6,16.913624,68.88266,30.62636,1691.6296,58.163223,109.458916,159.03998,1267.2966,2019-09-26 00:00:00
74.4,31.6,2.8722298,37.815395,75.57669,956.9451,24.478573,89.16293,130.81541,1261.3468,2019-09-26 03:00:00
74.4,31.6,1.2649565,10.400716,137.6603,515.19135,15.08032,78.93354,117.4542,1254.5466,2019-09-26 06:00:00
74.4,31.6,0.37309462,17.273464,168.85771,640.25323,24.412573,111.902695,165.2461,1256.7198,2019-09-26 12:00:00
74.4,31.6,17.263739,86.211655,42.060814,1954.6139,92.92855,148.40942,216.25032,1267.7422,2019-09-26 15:00:00
74.4,31.6,11.510087,75.01155,24.000795,1680.8044,71.30605,132.23775,192.68256,1267.4941,2019-09-26 18:00:00
74.4,31.6,9.938327,64.65532,21.337315,1490.5323,47.20796,120.76567,175.91182,1267.151,2019-09-26 21:00:00
74.4,31.6,1.5863485,11.562267,121.60795,494.66354,14.175646,56.2742,83.457054,1256.7305,2019-09-27 06:00:00
74.4,31.6,11.121534,55.484818,22.260036,1313.1215,55.05814,120.64771,176.9513,1267.4037,2019-09-27 00:00:00
74.4,31.6,2.861367,30.33686,66.89194,766.16895,18.975323,80.39117,118.053185,1262.3132,2019-09-27 03:00:00
74.4,31.6,0.9001482,9.277498,151.87775,514.1374,12.169374,54.30832,80.23554,1256.2152,2019-09-27 09:00:00
74.4,31.6,0.50261235,13.383511,135.16652,532.25604,13.588511,65.45053,95.98476,1257.7423,2019-09-27 12:00:00
74.4,31.6,47.84218,74.72047,44.119507,2248.0024,130.1589,127.32331,183.47635,1272.7389,2019-09-27 15:00:00
74.4,31.6,38.17765,82.2313,18.095438,2266.936,103.21644,127.10793,184.10933,1270.2866,2019-09-27 18:00:00
74.4,31.6,24.865732,62.255314,25.70591,1776.5223,71.72942,112.788635,163.23189,1269.2383,2019-09-27 21:00:00
74.4,31.6,0.7822244,11.564875,198.10031,672.86176,25.406921,88.428024,131.35577,1259.1947,2019-09-28 09:00:00
74.4,31.6,0.74284685,41.09996,48.88633,893.96747,27.027983,77.58224,114.28366,1265.0886,2019-09-28 21:00:00
74.4,31.6,16.889948,69.06209,18.662333,1819.1085,64.888115,109.726166,158.40213,1268.9232,2019-09-28 00:00:00
74.4,31.6,4.8157616,37.517765,59.425938,1045.6542,37.38968,81.458015,119.825905,1265.02,2019-09-28 03:00:00
74.4,31.6,1.7716599,19.55769,123.33376,704.1344,28.130554,82.379684,123.33654,1260.2693,2019-09-28 06:00:00
74.4,31.6,0.5608953,19.505487,153.68237,712.51355,23.72376,85.41729,125.69361,1261.205,2019-09-28 12:00:00
74.4,31.6,1.0067567,53.18629,55.866158,1132.5254,46.610508,89.14351,129.61133,1267.0116,2019-09-28 15:00:00
74.4,31.6,1.5588086,55.73369,37.023445,1133.6953,45.960133,84.18423,122.66471,1267.0372,2019-09-28 18:00:00
74.4,31.6,2.0962374,13.811161,78.60199,468.75256,14.82226,43.468796,63.793198,1256.6082,2019-09-29 06:00:00
74.4,31.6,0.7752959,36.90825,45.329338,781.70667,21.522516,58.07826,84.53692,1262.178,2019-09-29 00:00:00
74.4,31.6,2.2290976,29.766857,48.914375,661.78107,19.30956,42.505768,62.228954,1259.7208,2019-09-29 03:00:00
74.4,31.6,1.0028572,8.0141115,141.58333,458.42676,14.353628,50.433582,73.87693,1254.6877,2019-09-29 09:00:00
74.4,31.6,0.62913585,16.617485,107.555786,510.84122,17.819424,56.090508,81.444786,1255.7065,2019-09-29 12:00:00
74.4,31.6,10.654296,60.045277,26.54713,1302.4011,60.708443,76.069664,109.63105,1265.9801,2019-09-29 15:00:00
74.4,31.6,57.930218,77.099625,2.9307911,2551.1519,126.753296,114.38212,164.8602,1271.6001,2019-09-29 18:00:00
74.4,31.6,116.45482,81.64315,0.5813675,3907.4375,181.68358,157.04387,226.30954,1272.9564,2019-09-29 21:00:00
74.4,31.6,0.54747355,7.5259376,153.56104,449.20032,12.968763,42.48137,61.86241,1252.215,2019-09-30 09:00:00
74.4,31.6,0.74632853,19.869669,116.31982,571.5041,22.645561,48.7699,71.37304,1255.1576,2019-09-30 12:00:00
74.4,31.6,7.265527,63.260468,29.585875,1295.7723,59.21718,63.64578,92.67481,1265.9758,2019-09-30 15:00:00
74.4,31.6,55.8509,61.608707,10.209212,2426.8203,92.955864,114.877075,166.75087,1269.2412,2019-09-30 00:00:00
74.4,31.6,7.262881,33.512295,67.33673,1018.6399,32.11427,73.63717,108.488785,1260.5289,2019-09-30 03:00:00
74.4,31.6,1.0523316,7.403083,119.216484,423.44116,11.272917,38.75303,56.94797,1251.9812,2019-09-30 06:00:00
74.4,31.6,22.06822,74.82537,8.820471,1846.0292,74.66293,77.98506,112.73894,1269.0845,2019-09-30 21:00:00
74.4,31.6,23.697985,74.22747,11.165978,1835.2795,81.84796,76.22063,110.21875,1268.7429,2019-09-30 18:00:00
74.4,31.6,289.06573,147.27654,0.002297895,8336.688,436.07617,262.48468,375.47552,1281.5687,2019-10-01 21:00:00
74.4,31.6,0.70259887,16.145895,114.55214,519.2369,17.9949,29.191208,43.937984,1261.2988,2019-10-01 12:00:00
74.4,31.6,41.891884,79.64337,23.30995,2233.3174,122.78949,76.22439,109.69093,1277.6643,2019-10-01 15:00:00
74.4,31.6,48.50425,73.21611,6.6932936,2449.7847,99.03623,101.401726,146.45921,1270.8572,2019-10-01 00:00:00
74.4,31.6,11.279044,48.975296,55.93539,1431.0092,48.4452,84.562614,123.67579,1269.6147,2019-10-01 03:00:00
74.4,31.6,1.1307211,10.6541815,141.43697,591.1531,18.002964,64.92696,96.081,1260.6122,2019-10-01 06:00:00
74.4,31.6,0.6400683,8.020094,170.22086,541.62634,15.7820835,62.52504,92.225845,1259.5846,2019-10-01 09:00:00
74.4,31.6,165.79501,119.31694,0.012672686,5286.6123,303.28622,168.2734,241.10603,1281.0891,2019-10-01 18:00:00
74.4,31.6,0.788004,10.213786,193.86818,572.57385,20.984379,46.958466,70.51252,1258.0215,2019-10-02 09:00:00
74.4,31.6,221.40485,122.964455,0.0000122,6698.514,285.66794,269.8783,385.88428,1280.4731,2019-10-02 00:00:00
74.4,31.6,20.500986,78.50182,57.90236,2014.6085,64.053345,86.777855,125.035866,1268.7745,2019-10-02 03:00:00
74.4,31.6,1.2626586,13.538007,153.73691,591.8039,17.978941,38.81354,57.21286,1258.724,2019-10-02 06:00:00
74.4,31.6,0.7769671,26.679724,148.49696,702.3024,36.115685,56.795197,84.8071,1261.934,2019-10-02 12:00:00
74.4,31.6,12.110465,77.58933,43.988537,1638.5913,85.61372,95.60546,140.17664,1276.0616,2019-10-02 15:00:00
74.4,31.6,124.112526,100.51966,16.70998,3953.5178,280.3109,178.89769,260.60837,1281.0828,2019-10-02 18:00:00
74.4,31.6,229.32353,137.98822,0.6290314,6419.391,422.2484,246.426,358.50684,1280.8815,2019-10-02 21:00:00
74.4,31.6,0.088712685,32.585438,169.55473,955.38184,33.943684,101.418785,161.36043,1266.8304,2019-10-03 12:00:00
74.4,31.6,0.82557106,57.930885,74.14047,1259.789,53.215076,106.01576,159.49092,1273.4279,2019-10-03 15:00:00
74.4,31.6,265.4211,148.58003,0.0000123,7496.4214,456.9199,273.43213,399.2639,1280.9493,2019-10-03 00:00:00
74.4,31.6,40.18169,138.17696,43.7269,3444.7666,133.80644,174.65852,256.11755,1274.3992,2019-10-03 03:00:00
74.4,31.6,1.0017779,12.56668,190.89633,712.0843,21.349535,86.526344,136.03986,1263.3065,2019-10-03 06:00:00
74.4,31.6,0.5386127,8.5581,203.45392,581.49457,17.16486,81.348564,136.58638,1262.0583,2019-10-03 09:00:00
74.4,31.6,15.060683,78.380936,27.227482,1753.4515,93.523224,119.09772,177.48596,1275.8704,2019-10-03 18:00:00
74.4,31.6,17.456762,67.67977,24.106592,1595.803,89.2146,110.93472,165.97295,1276.2876,2019-10-03 21:00:00
74.4,31.6,0.4926896,6.085259,166.64827,460.92374,14.651658,71.541626,117.63553,1264.2317,2019-10-04 09:00:00
74.4,31.6,46.13275,63.334198,15.409942,2158.162,114.67083,132.49928,197.92691,1279.0969,2019-10-04 00:00:00
74.4,31.6,15.08422,56.89242,34.2844,1441.0968,78.919334,119.26605,179.71407,1277.3809,2019-10-04 03:00:00
74.4,31.6,1.6039308,14.100296,162.16945,676.3724,27.260557,97.19059,154.38611,1267.9976,2019-10-04 06:00:00
74.4,31.6,0.6015611,19.779163,143.37997,650.0895,25.241486,42.56844,66.93462,1266.3438,2019-10-04 12:00:00
74.4,31.6,76.61914,132.68636,11.888113,3655.4507,244.17853,139.97482,205.94238,1280.8981,2019-10-04 15:00:00
74.4,31.6,72.95678,126.71781,3.7511747,3445.9277,209.31374,136.36197,200.00546,1278.5537,2019-10-04 18:00:00
74.4,31.6,35.00161,98.01219,10.604368,2308.8726,133.84222,110.08074,162.52525,1277.5139,2019-10-04 21:00:00
74.4,31.6,0.5803926,6.1701045,169.63608,420.23172,15.606887,47.17061,86.57105,1264.9025,2019-10-05 09:00:00
74.4,31.6,80.00714,104.17506,2.1746914,3392.7578,196.28413,147.49911,217.56528,1279.3739,2019-10-05 00:00:00
74.4,31.6,18.60557,82.333496,60.748653,1995.5048,105.92712,108.24351,161.93547,1274.1237,2019-10-05 03:00:00
74.4,31.6,0.9774411,8.40101,165.12434,515.0773,19.368053,48.81966,79.89574,1265.5883,2019-10-05 06:00:00
